Data Download from NCSES Interactive Data Tool

Filters,Selected values
"Institution Name","Columbia Univ in the City of New York, Columbia University in the City of New York"

,,,"<measures>","Graduate Students by Demographic Characteristics and Enrollment",
"[Year]","[Institution Name]","[Broad Fields]","[Citizenship]",
"2008","Columbia Univ in the City of New York","Physical sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","127",
"2008","Columbia Univ in the City of New York","Psychology","Total for selected values","40",
"2008","Columbia Univ in the City of New York","Psychology","Foreign nationals","5",
"2008","Columbia Univ in the City of New York","Psychology","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","35",
"2008","Columbia Univ in the City of New York","Social sciences","Total for selected values","572",
"2008","Columbia Univ in the City of New York","Social sciences","Foreign nationals","260",
"2008","Columbia Univ in the City of New York","Social sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","312",
"2007","Total for selected values","Total for selected values","Total for selected values","4,268",
"2007","Columbia Univ in the City of New York","Total for selected values","Total for selected values","4,268",
"2007","Columbia Univ in the City of New York","Biological sciences","Total for selected values","792",
"2007","Columbia Univ in the City of New York","Biological sciences","Foreign nationals","203",
"2007","Columbia Univ in the City of New York","Biological sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","589",
"2007","Columbia Univ in the City of New York","Clinical medicine","Total for selected values","77",
"2007","Columbia Univ in the City of New York","Clinical medicine","Foreign nationals","14",
"2007","Columbia Univ in the City of New York","Clinical medicine","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","63",
"2007","Columbia Univ in the City of New York","Computer sciences","Total for selected values","496",
"2007","Columbia Univ in the City of New York","Computer sciences","Foreign nationals","294",
"2007","Columbia Univ in the City of New York","Computer sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","202",
"2007","Columbia Univ in the City of New York","Earth, atmospheric, and ocean sciences","Total for selected values","154",
